entry_date,entry_price,exit_date,exit_price,reason,code,name,net_ret
2026-04-11,4380.0,2026-04-11,4387.0,hard_stop_5MA,452300,캡스톤파트너스,-0.0007018264840182647
2026-04-11,3420.0,2026-04-12,3327.1,trailing_stop,215790,이노인스트루먼트,-0.029463742690058504
2026-04-11,14520.0,2026-04-11,15292.0,hard_stop_5MA,050890,쏠리드,0.05086804407713498
2026-04-11,7000.0,2026-04-11,7494.0,hard_stop_5MA,064260,다날,0.06827142857142858
2026-04-11,3200.0,2026-04-11,3462.0,hard_stop_5MA,011930,신성이엔지,0.079575
2026-04-11,530000.0,2026-04-12,565510.0,trailing_stop,009150,삼성전기,0.06470000000000001
2026-04-11,11450.0,2026-04-11,11644.0,hard_stop_5MA,044450,KSS해운,0.014643231441048035
2026-04-11,2400.0,2026-04-11,2484.0,hard_stop_5MA,005880,대한해운,0.03270000000000001
2026-04-13,12410.0,2026-04-15,17246.6,trailing_stop,017900,광전자,0.38743408541498775
2026-04-14,19680.0,2026-04-15,20709.5,trailing_stop,115440,우리넷,0.0500119918699187
2026-04-14,11500.0,2026-04-15,11624.0,hard_stop_5MA,010820,퍼스텍,0.008482608695652174
2026-04-14,9430.0,2026-04-15,9855.199999999999,trailing_stop,025860,남해화학,0.0427901378579002
2026-04-14,12750.0,2026-04-15,12367.5,trailing_stop,100590,머큐리,-0.032299999999999995
2026-04-14,2880.0,2026-04-15,2701.0,hard_stop_5MA,001780,알루코,-0.06445277777777778
2026-04-14,1917.0,2026-04-15,2167.95,trailing_stop,018470,조일알미늄,0.1286076682316118
2026-04-14,37150.0,2026-04-15,37490.5,trailing_stop,490470,세미파이브,0.006865545087483176
2026-04-14,6940.0,2026-04-15,7653.3,trailing_stop,088800,에이스테크,0.10048097982708937
2026-04-14,2865.0,2026-04-15,3380.45,trailing_stop,008350,남선알미늄,0.17761273996509594
2026-04-15,51200.0,2026-04-16,52089.0,trailing_stop,178320,서진시스템,0.015063281250000001
2026-04-15,8710.0,2026-04-16,7422.0,hard_stop_5MA,037030,파워넷,-0.1501760045924225
2026-04-16,194000.0,2026-04-17,188180.0,trailing_stop,018260,삼성에스디에스,-0.032299999999999995
2026-04-16,10380.0,2026-04-17,11028.9,trailing_stop,158430,아톤,0.06021445086705199
2026-04-16,18420.0,2026-04-16,17310.0,hard_stop_5MA,050890,쏠리드,-0.06256058631921824
2026-04-16,8210.0,2026-04-17,8016.0,hard_stop_5MA,064260,다날,-0.025929719853836783
2026-04-17,15120.0,2026-04-18,14705.199999999999,trailing_stop,388050,지투파워,-0.029733862433862505
2026-04-17,117000.0,2026-04-18,113490.0,trailing_stop,011790,SKC,-0.032299999999999995
2026-04-18,29900.0,2026-04-18,29460.0,hard_stop_5MA,098460,고영,-0.01701571906354515
2026-04-18,34200.0,2026-04-18,35850.0,hard_stop_5MA,077970,STX엔진,0.04594561403508772
2026-04-18,39900.0,2026-04-18,38680.0,hard_stop_5MA,100790,미래에셋벤처투자,-0.03287644110275689
2026-04-18,377000.0,2026-04-20,389500.0,time_cut,005490,POSCO홀딩스,0.030856498673740056
2026-04-18,12950.0,2026-04-19,12102.0,hard_stop_5MA,093370,후성,-0.06778262548262548
2026-04-18,105500.0,2026-04-19,105580.0,hard_stop_5MA,457190,이수스페셜티케미컬,-0.0015417061611374407
2026-04-18,32500.0,2026-04-19,33416.5,trailing_stop,319400,현대무벡스,0.0259
2026-04-18,11840.0,2026-04-18,12272.0,hard_stop_5MA,010820,퍼스텍,0.03418648648648649
2026-04-18,23050.0,2026-04-19,22712.0,hard_stop_5MA,456010,아이씨티케이,-0.016963774403470716
2026-04-18,24050.0,2026-04-18,24120.0,hard_stop_5MA,368770,파이버프로,0.0006106029106029108
2026-04-18,48700.0,2026-04-18,49460.0,hard_stop_5MA,082740,한화엔진,0.013305749486652977
2026-04-21,134800.0,2026-04-22,159468.0,trailing_stop,007660,이수페타시스,0.18069703264094955
2026-04-21,159700.0,2026-04-22,161699.0,trailing_stop,086520,에코프로,0.010217219787100815
2026-04-21,4170.0,2026-04-22,4161.3,trailing_stop,203650,드림시큐리티,-0.004386330935251755
2026-04-21,78700.0,2026-04-22,81868.0,trailing_stop,450080,에코프로머티,0.037954129606099105
