entry_date,entry_price,exit_date,exit_price,reason,code,name,marcap,entry_vol,marcap_tier,vol_tier
2026-04-27,119500.0,2026-04-30,136300.0,take_profit,010950,S-Oil,12046358744000.0,0.023408766870705394,대형,중변동
2026-04-12,524000.0,2026-04-15,617714.2857142857,take_profit,0126Z0,삼성에피스홀딩스,11968746569000.0,0.03456642157344659,대형,중변동
2026-04-15,171600.0,2026-04-25,175000.0,holding_limit,005830,DB손해보험,9458250395600.0,0.024513444771361786,대형,중변동
2026-04-23,80000.0,2026-05-03,87300.0,holding_limit,047050,포스코인터내셔널,11558127171600.0,0.025221817263831468,대형,중변동
2026-05-07,284000.0,2026-05-12,252785.7142857143,stop_loss,071050,한국금융지주,13625005044000.0,0.0360094128028439,대형,고변동
2026-04-16,194000.0,2026-04-17,181821.42857142858,stop_loss,018260,삼성에스디에스,19034938800000.0,0.045131602609176605,대형,고변동
2026-05-10,175600.0,2026-05-15,197942.85714285713,take_profit,018260,삼성에스디에스,19034938800000.0,0.01714583090739714,대형,저변동
2026-05-08,453000.0,2026-05-15,392785.71428571426,stop_loss,039490,키움증권,10242157398000.0,0.04337422555480528,대형,고변동
2026-05-07,38300.0,2026-05-12,35057.142857142855,stop_loss,005940,NH투자증권,11082309875900.0,0.02521971678326291,대형,중변동
2026-04-12,406500.0,2026-04-22,444500.0,holding_limit,307950,현대오토에버,19073379481000.0,0.04390956650576027,대형,고변동
2026-04-18,261000.0,2026-04-28,283500.0,holding_limit,259960,크래프톤,11671495429000.0,0.023628139791544794,대형,중변동
2026-04-19,164100.0,2026-04-22,149542.85714285713,stop_loss,298380,에이비엘바이오,6634514365500.0,0.037934904177116584,대형,고변동
2026-04-28,144900.0,2026-05-06,129257.14285714286,stop_loss,298380,에이비엘바이오,6634514365500.0,0.029715218565461013,대형,중변동
2026-05-26,141900.0,2026-05-27,149800.0,holding_limit,000880,한화,10562086266200.0,0.03833089697382235,대형,고변동
2026-05-04,122500.0,2026-05-12,106992.85714285714,stop_loss,058470,리노공업,7811714625000.0,0.03306852015227653,대형,중변동
2026-05-27,110800.0,2026-05-27,102500.0,holding_limit,058470,리노공업,7811714625000.0,0.04095454956446206,대형,고변동
2026-04-18,253000.0,2026-04-28,260000.0,holding_limit,005387,현대차2우B,9370333240000.0,0.028254505689415683,대형,중변동
2026-05-09,261000.0,2026-05-15,301857.14285714284,take_profit,005387,현대차2우B,9370333240000.0,0.02288137557752857,대형,중변동
2026-04-19,108800.0,2026-04-29,107400.0,holding_limit,950160,코오롱티슈진,9371807130000.0,0.04207099608030009,대형,고변동
2026-05-08,114900.0,2026-05-12,143842.85714285713,take_profit,950160,코오롱티슈진,9371807130000.0,0.03338710414345664,대형,중변동
2026-04-12,24600.0,2026-04-22,25200.0,holding_limit,003490,대한항공,9757847516500.0,0.03136561568406643,대형,중변동
2026-05-08,26000.0,2026-05-12,24639.285714285714,stop_loss,003490,대한항공,9757847516500.0,0.020884786873245315,대형,저변동
2026-04-12,41850.0,2026-04-22,47550.0,holding_limit,009830,한화솔루션,7253865019200.0,0.056185919690657254,대형,고변동
2026-05-05,110400.0,2026-05-05,130914.28571428571,take_profit,016360,삼성증권,11162500000000.0,0.06597734347713724,대형,고변동
2026-04-12,52600.0,2026-04-22,56800.0,holding_limit,377300,카카오페이,6269128346250.0,0.03926521059949953,대형,고변동
2026-05-07,61800.0,2026-05-07,57700.0,stop_loss,377300,카카오페이,6269128346250.0,0.03131423417016156,대형,중변동
2026-04-13,113700.0,2026-04-23,115400.0,holding_limit,180640,한진칼,7423965424800.0,0.04104128956957804,대형,고변동
